,precision,recall,f1-score,support
0.0,0.928673556926345,1.0,0.9630178768109803,90932.0
1.0,1.0,0.4509433962264151,0.6215864759427828,12720.0
accuracy,0.9326206923165978,0.9326206923165978,0.9326206923165978,0.9326206923165978
macro avg,0.9643367784631725,0.7254716981132076,0.7923021763768816,103652.0
weighted avg,0.9374266186704203,0.9326206923165978,0.9211179866106611,103652.0
