,precision,recall,f1-score,support
0.0,0.9963205816775951,0.9025979840996607,0.947146407166872,100501.0
1.0,0.4627627462817628,0.9617885251511349,0.6248703127315843,8767.0
accuracy,0.9073470732510891,0.9073470732510891,0.9073470732510891,0.9073470732510891
macro avg,0.7295416639796789,0.9321932546253978,0.7860083599492282,109268.0
weighted avg,0.9535111448533166,0.9073470732510891,0.921288932701208,109268.0
