fpr,tpr,threshold
0.0,0.0,1.999989
0.0,5.2656521510189036e-05,0.99998903
0.0,0.004317834763835501,0.99975246
0.0,0.0044231478068558795,0.9997521
0.0,0.007424569532936654,0.9995933
0.0,0.00763519561897741,0.99959046
0.0,0.00926754778579327,0.9995154
0.0,0.009372860828813648,0.99951434
0.0,0.013164130377547259,0.99938464
0.0,0.013269443420567637,0.9993845
0.0,0.013585382549628771,0.99937373
0.0,0.01369069559264915,0.999373
0.0,0.014375230372281608,0.9993536
0.0,0.014480543415301986,0.999353
0.0,0.016481491232689167,0.9992847
0.0,0.016586804275709546,0.99928325
0.0,0.017692591227423518,0.99924314
0.0,0.017797904270443893,0.9992409
0.0,0.01806118687799484,0.99923587
0.0,0.018166499921015218,0.99923503
0.0,0.025327786846400926,0.9990514
0.0,0.025433099889421305,0.9990491
0.0,0.026012321626033383,0.99903536
0.0,0.02611763466905376,0.9990332
0.0,0.026644199884155652,0.9990239
0.0,0.02674951292717603,0.99902344
0.0,0.027170765099257543,0.99901843
0.0,0.02727607814227792,0.9990182
0.0,0.02780264335737981,0.9990067
0.0,0.02790795640040019,0.9990062
0.0,0.028065925964930755,0.9990037
0.0,0.028171239007951134,0.99900347
0.0,0.030119530303828128,0.9989673
0.0,0.030224843346848506,0.99896383
0.0,0.03117266073403191,0.998949
0.0,0.03127797377705229,0.99894863
0.0,0.03212047812121531,0.9989281
0.0,0.03222579116423569,0.9989272
0.0,0.03470064767521457,0.99888307
0.0,0.034805960718234955,0.99888176
0.0,0.03485861723974514,0.99888057
0.0,0.034963930282765524,0.9988796
0.0,0.03533252593333684,0.99887127
0.0,0.035437838976357224,0.99887043
0.0,0.03564846506239798,0.9988663
0.0,0.035753778105418355,0.998865
0.0,0.03764941287978516,0.99882776
0.0,0.037754725922805536,0.99882406
0.0,0.039492391132641774,0.99878854
0.0,0.039597704175662156,0.9987884
0.0,0.040071612869253856,0.9987789
0.0,0.04028223895529461,0.998776
0.0,0.04065083460586594,0.99876773
0.0,0.04075614764888631,0.99876726
0.0,0.04112474329945764,0.9987583
0.0,0.04123005634247802,0.99875796
0.0,0.04265178242325312,0.9987336
0.0,0.042862408509293876,0.9987307
0.0,0.044126165025538414,0.9987072
0.0,0.04423147806855879,0.9987055
0.0,0.04544257806329314,0.9986797
0.0,0.045547891106313514,0.9986785
0.0,0.04654836501500711,0.99865806
0.0,0.04665367805802749,0.99865353
0.0,0.047074930230109,0.9986463
0.0,0.04718024327312938,0.99864584
0.0,0.047232899794639564,0.99864405
0.0,0.047338212837659946,0.99864334
0.0,0.04765415196672108,0.9986393
0.0,0.04775946500974146,0.9986382
0.0,0.051708704123005635,0.9985384
0.0,0.05181401716602601,0.998538
0.0,0.05239323890263809,0.99852633
0.0,0.05249855194565847,0.9985245
0.0,0.05260386498867885,0.9985227
0.0,0.05270917803169923,0.9985216
0.0,0.05455215628455584,0.9984825
0.0,0.05465746932757622,0.9984816
0.0,0.05965983887104418,0.9983772
0.0,0.059765151914064556,0.99837697
0.0,0.062082038860512875,0.9983291
0.0,0.06218735190353325,0.9983279
0.0,0.0624506345110842,0.9983228
0.0,0.06255594755410458,0.9983215
0.0,0.06334579537675741,0.9983082
0.0,0.06345110841977779,0.998307
0.0,0.06403033015638987,0.9982881
0.0,0.06413564319941024,0.9982856
0.0,0.06460955189300195,0.998271
0.0,0.06471486493602233,0.99827063
0.0,0.06513611710810384,0.99825853
0.0,0.06524143015112421,0.9982547
0.0,0.06587330840924649,0.99824417
0.0,0.06597862145226686,0.9982413
0.0,0.06703175188247064,0.99822026
0.0,0.06713706492549103,0.99822015
0.0,0.06718972144700121,0.9982199
0.0,0.06729503449002158,0.99821967
0.0,0.06797956926965405,0.99820364
0.0,0.06808488231267443,0.9982008
0.0,0.0681901953556948,0.998197
0.0,0.06829550839871518,0.99819666
0.0,0.06834816492022537,0.9981944
0.0,0.06845347796324575,0.9981927
0.0,0.0691380127428782,0.99818087
0.0,0.06924332578589858,0.99818075
0.0,0.06940129535042915,0.9981755
0.0,0.06950660839344953,0.9981741
0.0,0.06992786056553105,0.9981651
0.0,0.07003317360855142,0.99816436
0.0,0.0701384866515718,0.9981634
0.0,0.07024379969459217,0.99816304
0.0,0.07066505186667368,0.99815243
0.0,0.07077036490969407,0.9981509
0.0,0.0715602127323469,0.99814034
0.0,0.07166552577536728,0.9981394
0.0,0.07313990837765257,0.99810934
