fpr,tpr,threshold
0.0,0.0,2.0
0.00016835588890364792,0.3021463373655914,1.0
0.00033980087668626185,0.36479334677419356,0.99
0.0005050676667109437,0.40278477822580644,0.98
0.0006054633802773393,0.4321236559139785,0.97
0.0006873245005699387,0.4557291666666667,0.96
0.0007969875107732324,0.4756804435483871,0.95
0.0008942941254606618,0.4930485551075269,0.94
0.0010178580806193026,0.5083585349462365,0.93
0.0011259765413831131,0.5217363911290323,0.92
0.0012541741448602029,0.5339801747311828,0.91
0.0013777381000188436,0.5442288306451613,0.9
0.001470411066387824,0.5544774865591398,0.89
0.0015862522743490496,0.5640540994623656,0.88
0.0016959152845523432,0.5739247311827957,0.87
0.00182256833858995,0.5831863239247311,0.86
0.0019214195027168624,0.5911038306451613,0.85
0.002054250754512401,0.5993153561827957,0.84
0.0021700919624736267,0.607379872311828,0.83
0.0023106459614665805,0.6148143481182796,0.82
0.0024295762683067723,0.6218077956989247,0.81
0.002570130267299726,0.6294732862903226,0.8
0.0026797932775030195,0.6363407258064516,0.79
0.002811079979859075,0.6428511424731183,0.78
0.002936188484457199,0.6495085685483871,0.77
0.0030365841980235946,0.6550319220430108,0.76
0.0031601481531822353,0.6607022849462365,0.75
0.00328062300946191,0.6663936491935484,0.74
0.0034088206129389994,0.6716859879032258,0.73
0.0035540082602504024,0.6766423051075269,0.72
0.003682205863727492,0.6813466061827957,0.71
0.003811948016644065,0.6861769153225806,0.7
0.0039571356639554675,0.6909232190860215,0.69
0.004111590607903768,0.6954385080645161,0.68
0.0042814910462469,0.6999327956989247,0.67
0.004406599550845023,0.7045110887096774,0.66
0.0045656881431117725,0.7093834005376344,0.65
0.004686162999391448,0.7143187163978495,0.64
0.004837528844460782,0.7182459677419355,0.63
0.004982716491772185,0.722614247311828,0.62
0.005140260534599452,0.7264574932795699,0.61
0.005334873763974311,0.7306577620967742,0.6
0.005503229652877959,0.7348790322580645,0.59
0.005656140047386776,0.739310315860215,0.58
0.005826040485729908,0.7435735887096774,0.57
0.006012930967907352,0.7482358870967742,0.56
0.006215266944479626,0.7524571572580645,0.55
0.006389801031141206,0.7561323924731183,0.54
0.0065890479088345135,0.7602066532258065,0.53
0.006803740280922652,0.7638608870967742,0.52
0.007036967246284586,0.7673891129032258,0.51
0.0072887288049203166,0.7709173387096774,0.5
0.007531223066919149,0.774466565860215,0.49
0.007804608317707642,0.7778267809139785,0.48
0.008125874601120107,0.7813550067204301,0.47
0.008439418137335158,0.7852192540322581,0.46
0.008799298156734699,0.7892095094086021,0.45
0.009160722725573722,0.7926537298387096,0.44
0.009537592788807578,0.7960139448924731,0.43
0.009922185599238846,0.7998991935483871,0.42
0.01033458029958081,0.8032594086021505,0.41
0.010711450362814663,0.8070816532258065,0.4
0.011145468755309388,0.811470934139785,0.39
0.011585665345562046,0.8155031922043011,0.38
0.01207528751787816,0.819388440860215,0.37
0.012580355184589104,0.8233156922043011,0.36
0.013128670235605572,0.827116935483871,0.35
0.013633737902316515,0.8314432123655914,0.34
0.014177419305014535,0.8348454301075269,0.33
0.014718011608833587,0.8386886760752689,0.32
0.015306484945276613,0.842804939516129,0.31
0.01594129476490413,0.8462911626344086,0.3
0.016651787507066314,0.8494833669354839,0.29
0.01732212196380194,0.8533686155913979,0.28
0.018074317540830165,0.8569808467741935,0.27
0.018838869513374254,0.8608240927419355,0.26
0.019618866980313173,0.8646673387096774,0.25
0.020540962995684527,0.8683425739247311,0.24
0.021461514461616402,0.8719128024193549,0.23
0.02240523416914052,0.8755040322580645,0.22
0.023506497919491904,0.8787802419354839,0.21
0.024742137471078313,0.8821824596774194,0.2
0.026126053768855087,0.8852696572580645,0.19
0.02755939564869532,0.8883568548387096,0.18
0.029099311439859877,0.8917590725806451,0.17
0.03089253333909965,0.8955813172043011,0.16
0.03284638838004566,0.8992565524193549,0.15
0.03511842060552516,0.9027217741935484,0.14
0.03760977885141126,0.9066070228494624,0.13
0.040494997204365515,0.9109543010752689,0.12
0.043817323048693464,0.9156376008064516,0.11
0.04767869664740099,0.919900873655914,0.1
0.052221216548920514,0.9246471774193549,0.09
0.05766266422421915,0.9292464717741935,0.08
0.06440462252756249,0.9343707997311828,0.07
0.07327960360683185,0.939432123655914,0.06
0.08479421967817768,0.9456695228494624,0.05
0.10104905797929686,0.9528099798387096,0.04
0.12572786892335636,0.9601604502688172,0.03
0.16685304229903095,0.9700730846774194,0.02
0.25646162258007715,0.9821908602150538,0.01
1.0,1.0,0.0
