,precision,recall,f1-score,support
0,0.7887323943661971,1.0,0.8818897637795275,56.0
1,1.0,0.7321428571428571,0.8453608247422679,56.0
accuracy,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286
macro avg,0.8943661971830985,0.8660714285714286,0.8636252942608977,112.0
weighted avg,0.8943661971830986,0.8660714285714286,0.8636252942608978,112.0
