,precision,recall,f1-score,support
0,0.7605633802816901,0.8709677419354839,0.8120300751879699,62.0
1,0.6363636363636364,0.45161290322580644,0.5283018867924528,31.0
accuracy,0.7311827956989247,0.7311827956989247,0.7311827956989247,0.7311827956989247
macro avg,0.6984635083226632,0.6612903225806451,0.6701659809902114,93.0
weighted avg,0.7191634656423389,0.7311827956989247,0.7174540123894642,93.0
