,precision,recall,f1-score,support
0,1.0,0.7297297297297297,0.8437499999999999,37.0
1,0.7872340425531915,1.0,0.880952380952381,37.0
accuracy,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649
macro avg,0.8936170212765957,0.8648648648648649,0.8623511904761905,74.0
weighted avg,0.8936170212765957,0.8648648648648649,0.8623511904761906,74.0
