,precision,recall,f1-score,support
0.0,0.9517285191436102,0.9954479639804035,0.9730974309258362,100834.0
1.0,0.9661154584379152,0.7199361865991858,0.8250535871895095,18178.0
accuracy,0.9533660471212987,0.9533660471212987,0.9533660471212987,0.9533660471212987
macro avg,0.9589219887907627,0.8576920752897946,0.8990755090576729,119012.0
weighted avg,0.9539259932007799,0.9533660471212987,0.9504850809826461,119012.0
