,precision,recall,f1-score,support
0.0,0.9976001497154307,0.9274011154889219,0.9612206582729615,97715.0
1.0,0.2926513111975272,0.9308594988899461,0.4453042027006524,3153.0
accuracy,0.9275092199706547,0.9275092199706547,0.9275092199706547,0.9275092199706547
macro avg,0.6451257304564789,0.929130307189434,0.7032624304868069,100868.0
weighted avg,0.975564383289538,0.9275092199706547,0.9450937936140065,100868.0
