,precision,recall,f1-score,support
0,0.7931034482758621,0.7419354838709677,0.7666666666666667,62.0
1,0.5428571428571428,0.6129032258064516,0.5757575757575757,31.0
accuracy,0.6989247311827957,0.6989247311827957,0.6989247311827957,0.6989247311827957
macro avg,0.6679802955665024,0.6774193548387097,0.6712121212121211,93.0
weighted avg,0.709688013136289,0.6989247311827957,0.7030303030303031,93.0
