,precision,recall,f1-score,support
0,0.75,0.8709677419354839,0.8059701492537312,62.0
1,0.6190476190476191,0.41935483870967744,0.5,31.0
accuracy,0.7204301075268817,0.7204301075268817,0.7204301075268817,0.7204301075268817
macro avg,0.6845238095238095,0.6451612903225806,0.6529850746268656,93.0
weighted avg,0.7063492063492064,0.7204301075268817,0.7039800995024875,93.0
