,precision,recall,f1-score,support
0,0.9911595339154884,0.943522962696074,0.9667547843972286,155426.0
1,0.5321892986570028,0.8841862936072251,0.6644487324505957,11294.0
accuracy,0.9395033589251439,0.9395033589251439,0.9395033589251439,0.9395033589251439
macro avg,0.7616744162862457,0.9138546281516495,0.8156017584239121,166720.0
weighted avg,0.9600678242405284,0.9395033589251439,0.9462758703456134,166720.0
