,precision,recall,f1-score,support
0,0.0,0.0,0.0,37.0
1,0.02631578947368421,0.02702702702702703,0.02666666666666667,37.0
accuracy,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
macro avg,0.013157894736842105,0.013513513513513514,0.013333333333333334,74.0
weighted avg,0.013157894736842105,0.013513513513513514,0.013333333333333334,74.0
