fpr,tpr,threshold
0.0,0.0,2.0
0.0,0.06787878787878789,1.0
0.0,0.09252525252525252,0.99
0.0,0.10868686868686869,0.98
0.0,0.11717171717171718,0.97
0.0,0.1288888888888889,0.96
0.0,0.13494949494949496,0.95
1.3745326588959753e-05,0.14303030303030304,0.94
1.3745326588959753e-05,0.15232323232323233,0.93
5.4981306355839013e-05,0.16080808080808082,0.92
0.00012370793930063779,0.16727272727272727,0.91
0.0001511985924785573,0.17373737373737375,0.9
0.0001511985924785573,0.18424242424242424,0.89
0.0002061798988343963,0.19111111111111112,0.88
0.00026116120519023534,0.19555555555555557,0.87
0.00026116120519023534,0.2016161616161616,0.86
0.00027490653177919506,0.2084848484848485,0.85
0.0003161425115460743,0.21656565656565657,0.84
0.0003298878381350341,0.2202020202020202,0.83
0.0003298878381350341,0.22505050505050506,0.82
0.00034363316472399387,0.2298989898989899,0.81
0.00038486914449087313,0.23595959595959595,0.8
0.0004123597976687926,0.24323232323232324,0.79
0.0004261051242577524,0.24808080808080807,0.78
0.0004261051242577524,0.25212121212121213,0.77
0.0004398504508467121,0.25696969696969696,0.76
0.00046734110402463165,0.263030303030303,0.75
0.0004948317572025511,0.26707070707070707,0.74
0.0005085770837915109,0.27111111111111114,0.73
0.0005223224103804707,0.2735353535353535,0.72
0.0005223224103804707,0.277979797979798,0.71
0.0005360677369694303,0.282020202020202,0.7
0.0005635583901473499,0.28484848484848485,0.69
0.0006185396965031889,0.2917171717171717,0.68
0.0006597756762700682,0.296969696969697,0.67
0.000673521002859028,0.30262626262626263,0.66
0.0007147569826259072,0.3086868686868687,0.65
0.0007147569826259072,0.3151515151515151,0.64
0.0007697382889817463,0.32323232323232326,0.63
0.0007972289421596657,0.3301010101010101,0.62
0.0008522102485155048,0.3406060606060606,0.61
0.0009346822080492633,0.3486868686868687,0.6
0.0010171541675830218,0.35434343434343435,0.59
0.0010721354739388607,0.3624242424242424,0.58
0.001168352760061579,0.3696969696969697,0.57
0.0013332966791290961,0.37656565656565655,0.56
0.0014570046184297339,0.381010101010101,0.55
0.0016082032109082912,0.38222222222222224,0.54
0.0017181658236199691,0.3890909090909091,0.53
0.0018831097426874862,0.39474747474747474,0.52
0.002116780294699802,0.4,0.51
0.00224048823400044,0.4088888888888889,0.5
0.0024604134594237957,0.41494949494949496,0.49
0.0026391027050802728,0.4214141414141414,0.48
0.0028727732570925884,0.42828282828282827,0.47
0.0030514625027490655,0.43797979797979797,0.46
0.003175170442049703,0.44525252525252523,0.45
0.003505058280184737,0.4537373737373737,0.44
0.00391741807785353,0.4614141414141414,0.43
0.004288541895755443,0.4666666666666667,0.42
0.004632175060479437,0.4731313131313131,0.41
0.00503078953155927,0.4775757575757576,0.4
0.0054019133494611835,0.48,0.39
0.005855509126896855,0.48363636363636364,0.38
0.006405322190455245,0.4896969696969697,0.37
0.006858917967890917,0.49373737373737375,0.36
0.00728502309214867,0.4993939393939394,0.35
0.007944798768418738,0.5042424242424243,0.34
0.008604574444688805,0.5094949494949494,0.33
0.00947053001979327,0.5135353535353535,0.32
0.010391466901253574,0.5163636363636364,0.31
0.011422366395425555,0.5187878787878788,0.3
0.01282438970749945,0.5232323232323233,0.29
0.01393776116120519,0.5276767676767676,0.28
0.015174840554211567,0.5313131313131313,0.27
0.01675555311194194,0.534949494949495,0.26
0.018734880140752145,0.5418181818181819,0.25
0.020439300637783153,0.5486868686868687,0.24
0.022459863646360236,0.553939393939394,0.23
0.024865295799428193,0.5587878787878788,0.22
0.027298218605674072,0.5628282828282828,0.21
0.0300885199032329,0.5664646464646464,0.2
0.03326369034528261,0.5725252525252525,0.19
0.035916538376951836,0.576969696969697,0.18
0.03935287002419177,0.585050505050505,0.17
0.04300912689685507,0.5951515151515151,0.16
0.04667912909610732,0.6036363636363636,0.15
0.050898944358917966,0.6149494949494949,0.14
0.055366175500329885,0.6331313131313131,0.13
0.061042995381570264,0.6468686868686868,0.12
0.0676957334506268,0.6654545454545454,0.11
0.0751044644820761,0.6727272727272727,0.1
0.0847674290741148,0.686060606060606,0.09
0.09687706179898835,0.7006060606060606,0.08
0.11245051682427974,0.72,0.07
0.13297228942159667,0.741010101010101,0.06
0.16223608972949197,0.7652525252525253,0.05
0.20407686386628546,0.7951515151515152,0.04
0.2674565647679789,0.8327272727272728,0.03
0.3715224323729932,0.8658585858585859,0.02
0.5576753903672751,0.9175757575757576,0.01
1.0,1.0,0.0
