,precision,recall,f1-score,support
0,1.0,0.5606060606060606,0.7184466019417475,66.0
1,0.6947368421052632,1.0,0.8198757763975156,66.0
accuracy,0.7803030303030303,0.7803030303030303,0.7803030303030303,0.7803030303030303
macro avg,0.8473684210526315,0.7803030303030303,0.7691611891696315,132.0
weighted avg,0.8473684210526317,0.7803030303030303,0.7691611891696315,132.0
