,precision,recall,f1-score,support
0.0,0.9852891503115718,0.9869387421757874,0.9861132563758076,171423.0
1.0,0.8123533355682199,0.7932727719125952,0.8026996811726222,12219.0
accuracy,0.974052776597946,0.974052776597946,0.974052776597946,0.974052776597946
macro avg,0.8988212429398958,0.8901057570441913,0.8944064687742149,183642.0
weighted avg,0.9737825084739257,0.974052776597946,0.9739094550917455,183642.0
