,precision,recall,f1-score,support
0,0.7285714285714285,0.8225806451612904,0.7727272727272727,62.0
1,0.5217391304347826,0.3870967741935484,0.4444444444444444,31.0
accuracy,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096
macro avg,0.6251552795031056,0.6048387096774194,0.6085858585858586,93.0
weighted avg,0.6596273291925465,0.6774193548387096,0.6632996632996633,93.0
